Date,Time,DayHigh,DayLow,IsDayHighBreak,IsDayLowBreak,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,points_from_target_high,SLHigh,points_from_SL_High,TargetLow,points_from_Target_Low,SLLow,points_from_SL_low,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow,noBreak
20100104,10:00,5224.00,5167.00,True,False,True,False,5238.00,14.00,5211.00,-13.00,0.00,0.00,0.00,0.00,5234.00,10.00,0.00,False
20100105,10:00,5282.00,5270.00,True,True,True,True,5288.00,6.00,5259.00,-23.00,5259.00,11.00,5288.00,-18.00,5277.00,-5.00,-7.00,False
20100106,10:00,5297.00,5281.00,False,True,False,True,0.00,0.00,0.00,0.00,5260.00,21.00,5293.00,-12.00,5282.00,0.00,-1.00,False
20100107,10:00,5284.20,5264.50,False,True,False,True,0.00,0.00,0.00,0.00,5244.75,19.75,5279.20,-14.70,5259.40,0.00,5.10,False
20100108,10:00,5268.95,5251.30,True,True,True,True,5276.75,7.80,5234.70,-34.25,5234.70,16.60,5276.75,-25.45,5245.65,-23.30,5.65,False
20100111,10:00,5281.35,5266.40,False,True,False,True,0.00,0.00,0.00,0.00,5238.15,28.25,5278.95,-12.55,5254.40,0.00,12.00,False
20100112,10:00,5249.15,5227.70,True,True,True,True,5272.85,23.70,5200.95,-48.20,5200.95,26.75,5272.85,-45.15,5206.35,-42.80,21.35,False
20100113,10:00,5209.75,5188.60,True,True,True,True,5239.20,29.45,5172.20,-37.55,5172.20,16.40,5239.20,-50.60,5233.85,24.10,-45.25,False
20100114,10:00,5272.85,5258.50,False,True,False,True,0.00,0.00,0.00,0.00,5244.20,14.30,5271.35,-12.85,5258.35,0.00,0.15,False
20100115,10:00,5270.85,5254.20,False,True,False,True,0.00,0.00,0.00,0.00,5242.45,11.75,5270.70,-16.50,5255.05,0.00,-0.85,False
20100118,10:00,5268.35,5235.10,True,False,True,False,5292.50,24.15,5257.95,-10.40,0.00,0.00,0.00,0.00,5276.40,8.05,0.00,False
20100119,10:00,5280.70,5266.70,False,True,False,True,0.00,0.00,0.00,0.00,5218.65,48.05,5276.45,-9.75,5225.60,0.00,41.10,False
