Date,Time,DayHigh,DayLow,IsDayHighBreak,IsDayLowBreak,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,points_from_target_high,SLHigh,points_from_SL_High,TargetLow,points_from_Target_Low,SLLow,points_from_SL_low,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow,noBreak
20110103,13:00,11909.20,11840.15,True,True,True,False,11912.15,2.95,11837.05,-72.15,11837.05,3.10,11912.15,-72.00,11842.85,-66.35,-2.70,False
20110104,13:00,11872.80,11605.85,False,True,False,True,0.00,0.00,0.00,0.00,11545.55,60.30,11683.10,-77.25,11561.55,0.00,44.30,False
20110105,13:00,11533.55,11321.95,False,True,False,True,0.00,0.00,0.00,0.00,11265.55,56.40,11363.25,-41.30,11301.00,0.00,20.95,False
20110106,13:00,11377.10,11199.25,False,True,False,True,0.00,0.00,0.00,0.00,11170.65,28.60,11246.55,-47.30,11176.70,0.00,22.55,False
20110107,13:00,11258.50,11046.35,False,True,False,True,0.00,0.00,0.00,0.00,11007.90,38.45,11222.50,-176.15,11022.30,0.00,24.05,False
20110110,13:00,11072.70,10822.35,False,True,False,True,0.00,0.00,0.00,0.00,10671.60,150.75,10905.20,-82.85,10676.70,0.00,145.65,False
20110111,13:00,10938.80,10620.80,True,False,True,False,10951.20,12.40,10700.30,-238.50,0.00,0.00,0.00,0.00,10915.85,-22.95,0.00,False
20110112,13:00,10990.15,10728.45,True,False,True,False,11161.15,171.00,10772.20,-217.95,0.00,0.00,0.00,0.00,11117.00,126.85,0.00,False
20110113,13:00,11127.95,10830.40,False,True,False,True,0.00,0.00,0.00,0.00,10676.50,153.90,10871.35,-40.95,10727.50,0.00,102.90,False
20110114,13:00,10892.75,10584.35,True,True,True,True,10907.30,14.55,10387.90,-504.85,10387.90,196.45,10907.30,-322.95,10431.70,-461.05,152.65,False
20110117,13:00,10558.50,10373.80,True,False,True,False,10571.80,13.30,10411.50,-147.00,0.00,0.00,0.00,0.00,10474.90,-83.60,0.00,False
20110118,13:00,10677.95,10544.30,False,True,False,True,0.00,0.00,0.00,0.00,10520.30,24.00,10634.60,-90.30,10634.20,0.00,-89.90,False
20110119,13:00,10715.05,10610.35,False,True,False,True,0.00,0.00,0.00,0.00,10562.25,48.10,10713.40,-103.05,10630.45,0.00,-20.10,False
20110120,13:00,10566.70,10493.25,True,False,True,False,10878.80,312.10,10512.55,-54.15,0.00,0.00,0.00,0.00,10805.95,239.25,0.00,False
20110121,13:00,10923.70,10740.00,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10882.10,0.00,0.00,True
20110124,13:00,11162.40,10913.45,True,False,True,False,11177.85,15.45,11065.15,-97.25,0.00,0.00,0.00,0.00,11144.25,-18.15,0.00,False
20110125,13:00,11256.95,10991.10,False,True,False,True,0.00,0.00,0.00,0.00,10849.40,141.70,11090.20,-99.10,10881.60,0.00,109.50,False
20110127,13:00,10970.85,10850.30,False,True,False,True,0.00,0.00,0.00,0.00,10639.85,210.45,10884.85,-34.55,10674.10,0.00,176.20,False
20110128,13:00,10736.40,10481.10,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10598.50,0.00,0.00,True
20110131,13:00,10560.35,10400.25,True,False,True,False,10696.30,135.95,10481.10,-79.25,0.00,0.00,0.00,0.00,10632.15,71.80,0.00,False
20110201,13:00,10675.20,10494.65,False,True,False,True,0.00,0.00,0.00,0.00,10457.80,36.85,10608.20,-113.55,10460.80,0.00,33.85,False
20110202,13:00,10614.95,10477.30,False,True,False,True,0.00,0.00,0.00,0.00,10418.20,59.10,10598.25,-120.95,10448.35,0.00,28.95,False
20110203,13:00,10659.80,10429.50,True,False,True,False,10704.30,44.50,10631.75,-28.05,0.00,0.00,0.00,0.00,10667.60,7.80,0.00,False
20110204,13:00,10772.45,10508.20,False,True,False,True,0.00,0.00,0.00,0.00,10385.90,122.30,10603.15,-94.95,10424.80,0.00,83.40,False
20110207,13:00,10494.05,10365.10,True,True,True,True,10509.80,15.75,10354.60,-139.45,10354.60,10.50,10509.80,-144.70,10396.70,-97.35,-31.60,False
20110208,13:00,10429.40,10181.85,False,True,False,True,0.00,0.00,0.00,0.00,10119.45,62.40,10264.50,-82.65,10143.90,0.00,37.95,False
20110209,13:00,10248.85,10038.15,True,False,True,False,10294.80,45.95,10064.50,-184.35,0.00,0.00,0.00,0.00,10146.55,-102.30,0.00,False
20110210,13:00,10180.65,10017.85,True,False,True,False,10227.75,47.10,10036.45,-144.20,0.00,0.00,0.00,0.00,10069.00,-111.65,0.00,False
20110211,13:00,10180.30,10078.90,True,False,True,False,10473.45,293.15,10155.00,-25.30,0.00,0.00,0.00,0.00,10439.10,258.80,0.00,False
20110214,13:00,10730.40,10557.70,True,False,True,False,10815.70,85.30,10716.50,-13.90,0.00,0.00,0.00,0.00,10801.80,71.40,0.00,False
20110215,13:00,11024.90,10722.70,True,False,True,False,11035.15,10.25,10917.75,-107.15,0.00,0.00,0.00,0.00,10956.80,-68.10,0.00,False
20110216,13:00,11024.25,10908.65,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10977.95,0.00,0.00,True
20110217,13:00,11133.00,10918.10,True,False,True,False,11190.20,57.20,11098.35,-34.65,0.00,0.00,0.00,0.00,11117.95,-15.05,0.00,False
20110218,13:00,11300.45,11045.50,False,True,False,True,0.00,0.00,0.00,0.00,10915.35,130.15,11143.50,-98.00,10965.85,0.00,79.65,False
20110221,13:00,10988.80,10825.55,True,True,True,True,11070.35,81.55,10806.30,-182.50,10806.30,19.25,11070.35,-244.80,11037.95,49.15,-212.40,False
20110222,13:00,10951.75,10826.70,False,True,False,True,0.00,0.00,0.00,0.00,10777.65,49.05,10865.60,-38.90,10835.15,0.00,-8.45,False
