Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,212,5,128,135,56,2.63,-2.48,3.29,-3.24,0.636,-0.674,0.643,-0.704
2011,246,15,134,150,53,3.3,-4.56,4.47,-3.84,0.803,-1.072,0.91,-1.058
2012,250,9,147,151,57,3.12,-3.86,4.11,-4.02,0.711,-0.866,0.725,-0.775
2013,249,12,147,145,55,3.63,-3.04,5.86,-3.53,0.681,-0.914,0.816,-0.839
2014,243,22,128,128,35,4.14,-3.62,2.75,-5.16,0.609,-0.703,0.597,-0.832
2015,247,15,127,147,42,3.61,-2.68,3.41,-2.89,0.612,-0.804,0.73,-0.745
2016,246,19,141,132,46,2.21,-3.73,3.19,-3.2,0.523,-0.762,0.605,-0.706
2017,247,34,133,115,35,2.39,-2.05,1.5,-2.77,0.328,-0.462,0.357,-0.507
2018,245,16,134,136,41,3.13,-2.46,4.56,-1.76,0.47,-0.577,0.457,-0.564
2019,244,17,130,127,30,6.51,-2.15,3.18,-1.94,0.567,-0.599,0.626,-0.582
2020,251,21,132,140,42,8.41,-5.96,5.02,-5.4,0.989,-1.261,1.046,-1.218
2021,240,28,111,127,26,2.46,-3.05,2.75,-2.16,0.607,-0.757,0.618,-0.77
2022,240,18,136,123,37,2.85,-2.81,2.7,-2.94,0.511,-0.727,0.616,-0.761
2023,237,24,121,122,30,1.41,-1.69,2.21,-2.03,0.348,-0.504,0.429,-0.443
2024,156,26,76,68,14,3.95,-1.81,4.5,-1.67,0.436,-0.577,0.507,-0.56
