Year,NumberOfTradingDays,NumberOfNoBreak,NumberOfHighBreak,NumberOfLowBreak,NumberOfBothBreak,MaximumTargetForHigh,MaximumSLforHigh,MaximumTargetForLow,MaximumSLforLow,AvgTargetforHigh,AvgSLforHigh,AvgTargetforLow,AvgSLforLow
2010,251,9,149,169,76,1.95,-1.95,2.29,-2.39,0.453,-0.583,0.52,-0.557
2011,246,16,127,159,56,2.26,-3.89,2.77,-3.02,0.59,-0.872,0.644,-0.815
2012,250,9,139,159,57,2.06,-2.37,2.46,-2.76,0.437,-0.587,0.451,-0.559
2013,249,22,128,144,45,1.61,-1.97,3.19,-2.35,0.451,-0.603,0.512,-0.53
2014,243,23,122,148,50,1.91,-2.76,2.15,-2.27,0.338,-0.516,0.385,-0.511
2015,247,13,127,150,43,1.6,-2.01,2.4,-2.51,0.411,-0.52,0.492,-0.536
2016,246,12,128,155,49,1.5,-3.43,2.56,-2.04,0.354,-0.552,0.388,-0.505
2017,247,28,125,139,45,1.6,-1.14,1.04,-2.16,0.231,-0.336,0.245,-0.362
2018,245,14,123,136,28,1.71,-2.0,3.53,-1.93,0.346,-0.414,0.408,-0.429
2019,244,14,128,145,43,2.77,-1.39,1.88,-1.67,0.37,-0.465,0.436,-0.439
2020,251,22,130,137,38,5.23,-3.06,4.27,-3.65,0.549,-0.719,0.687,-0.721
2021,240,22,121,128,31,1.2,-1.53,2.03,-1.65,0.314,-0.464,0.466,-0.523
2022,240,22,126,125,33,2.21,-1.81,2.23,-1.84,0.376,-0.534,0.467,-0.518
2023,237,29,117,115,24,0.81,-0.92,2.03,-1.31,0.253,-0.314,0.305,-0.324
2024,156,22,80,69,15,1.41,-1.5,3.27,-1.44,0.346,-0.375,0.381,-0.459
