Date,Time,DayHigh,DayLow,IsDayHighBreak,IsDayLowBreak,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,points_from_target_high,SLHigh,points_from_SL_High,TargetLow,points_from_Target_Low,SLLow,points_from_SL_low,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow
20110103,11:45,11909.20,11840.15,True,True,True,False,11912.15,2.95,11837.05,-72.15,11837.05,3.10,11912.15,-72.00,11842.85,-66.35,-2.70
20110104,11:45,11872.80,11613.50,False,True,False,True,11872.80,0.00,11872.80,0.00,11545.55,67.95,11683.10,-69.60,11561.55,-311.25,51.95
20110105,11:45,11533.55,11352.70,False,True,False,True,11533.55,0.00,11533.55,0.00,11265.55,87.15,11366.45,-13.75,11301.00,-232.55,51.70
20110106,11:45,11377.10,11211.10,False,True,False,True,11377.10,0.00,11377.10,0.00,11170.65,40.45,11246.55,-35.45,11176.70,-200.40,34.40
20110107,11:45,11175.35,11046.35,True,True,True,True,11258.50,83.15,11007.90,-167.45,11007.90,38.45,11258.50,-212.15,11022.30,-153.05,24.05
20110110,11:45,11072.70,10869.40,False,True,False,True,11072.70,0.00,11072.70,0.00,10671.60,197.80,10921.65,-52.25,10676.70,-396.00,192.70
20110111,11:45,10883.35,10620.80,True,False,True,False,10951.20,67.85,10700.30,-183.05,10620.80,0.00,10620.80,0.00,10915.85,32.50,-295.05
20110112,11:45,10990.15,10852.15,True,True,True,True,11161.15,171.00,10728.45,-261.70,10728.45,123.70,11161.15,-309.00,11117.00,126.85,-264.85
20110113,11:45,11127.95,10928.40,False,True,False,True,11127.95,0.00,11127.95,0.00,10676.50,251.90,11038.25,-109.85,10727.50,-400.45,200.90
20110114,11:45,10763.20,10584.35,True,True,True,True,10907.30,144.10,10387.90,-375.30,10387.90,196.45,10907.30,-322.95,10431.70,-331.50,152.65
20110117,11:45,10556.85,10373.80,True,False,True,False,10571.80,14.95,10411.50,-145.35,10373.80,0.00,10373.80,0.00,10474.90,-81.95,-101.10
20110118,11:45,10677.95,10544.30,False,True,False,True,10677.95,0.00,10677.95,0.00,10520.30,24.00,10634.60,-90.30,10634.20,-43.75,-89.90
20110119,11:45,10715.05,10610.35,False,True,False,True,10715.05,0.00,10715.05,0.00,10562.25,48.10,10713.40,-103.05,10630.45,-84.60,-20.10
20110120,11:45,10565.10,10493.25,True,False,True,False,10878.80,313.70,10499.35,-65.75,10493.25,0.00,10493.25,0.00,10805.95,240.85,-312.70
20110121,11:45,10867.35,10740.00,True,False,True,False,10923.70,56.35,10805.75,-61.60,10740.00,0.00,10740.00,0.00,10882.10,14.75,-142.10
20110124,11:45,11153.05,10913.45,True,False,True,False,11177.85,24.80,11065.15,-87.90,10913.45,0.00,10913.45,0.00,11144.25,-8.80,-230.80
20110125,11:45,11256.95,11074.70,False,True,False,True,11256.95,0.00,11256.95,0.00,10849.40,225.30,11174.30,-99.60,10881.60,-375.35,193.10
20110127,11:45,10970.85,10861.95,False,True,False,True,10970.85,0.00,10970.85,0.00,10639.85,222.10,10930.50,-68.55,10674.10,-296.75,187.85
20110128,11:45,10736.40,10494.95,False,True,False,True,10736.40,0.00,10736.40,0.00,10481.10,13.85,10616.20,-121.25,10598.50,-137.90,-103.55
20110131,11:45,10519.45,10400.25,True,False,True,False,10696.30,176.85,10423.10,-96.35,10400.25,0.00,10400.25,0.00,10632.15,112.70,-231.90
20110201,11:45,10675.20,10494.65,False,True,False,True,10675.20,0.00,10675.20,0.00,10457.80,36.85,10608.20,-113.55,10460.80,-214.40,33.85
20110202,11:45,10614.95,10477.30,False,True,False,True,10614.95,0.00,10614.95,0.00,10418.20,59.10,10598.25,-120.95,10448.35,-166.60,28.95
