Date,Time,DayHigh,DayHighTime,DayLow,DayLowTime,IsDayHighBreak,DayHighBreakTime,IsDayLowBreak,DayLowBreakTime,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,TargetHighTime,points_from_target_high,percentChangeTargetHigh,SLHigh,SLHighTime,points_from_SL_High,percentageChangeSLHigh,TargetLow,TargetLowTime,points_from_Target_Low,percentageChangeTargetLow,SLLow,SLLowTime,points_from_SL_low,percentageChangeSLLow,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow,noBreak
20210101,10:00,31384.10,09:42,31251.65,09:15,False,N/A,True,11:58,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,31192.00,15:28,59.65,0.19,31348.80,10:13,-97.15,-0.31,31201.40,0.00,50.25,False
20210104,10:00,31487.90,09:47,31359.60,09:26,False,N/A,True,10:47,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,30904.50,11:05,455.10,1.45,31467.60,10:01,-108.00,-0.34,31265.30,0.00,94.30,False
20210105,10:00,31190.05,09:50,30951.55,09:21,True,10:48,False,N/A,True,False,31763.85,15:21,573.80,1.84,31050.20,10:16,-139.85,-0.45,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,31717.00,526.95,0.00,False
20210106,10:00,31908.85,09:52,31762.15,09:15,True,12:20,True,10:32,True,True,31978.05,12:32,69.20,0.22,31552.90,14:11,-355.95,-1.12,31552.90,14:11,209.25,0.66,31978.05,12:32,-215.90,-0.68,31716.80,-192.05,45.35,False
20210107,10:00,32141.45,09:28,32009.65,09:53,True,12:35,True,10:04,True,True,32177.15,13:11,35.70,0.11,31911.85,15:12,-229.60,-0.71,31911.85,15:12,97.80,0.31,32177.15,13:11,-167.50,-0.52,31951.50,-189.95,58.15,False
20210108,10:00,32298.05,09:15,32070.50,09:42,False,N/A,True,13:39,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,32007.40,13:39,63.10,0.2,32221.15,10:43,-150.65,-0.47,32089.30,0.00,-18.80,False
20210111,10:00,32280.30,09:15,31998.75,09:17,False,N/A,True,10:17,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,31837.90,10:22,160.85,0.5,32120.55,10:03,-121.80,-0.38,32020.05,0.00,-21.30,False
20210112,10:00,31938.20,09:40,31734.20,09:16,True,11:42,False,N/A,True,False,32393.95,15:05,455.75,1.43,31816.30,10:34,-121.90,-0.38,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,32327.25,389.05,0.00,False
20210113,10:00,32681.90,09:39,32438.65,09:15,False,N/A,True,10:36,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,32155.10,14:04,283.55,0.87,32656.85,10:02,-218.20,-0.67,32545.85,0.00,-107.20,False
20210114,10:00,32718.50,09:22,32526.70,09:15,False,N/A,True,10:52,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,32443.35,14:59,83.35,0.26,32658.95,12:19,-132.25,-0.41,32560.70,0.00,-34.00,False
20210115,10:00,32538.95,09:18,32196.25,09:47,False,N/A,True,10:39,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,32046.80,14:19,149.45,0.46,32421.20,12:45,-224.95,-0.7,32259.80,0.00,-63.55,False
20210118,10:00,32439.00,09:21,32138.05,09:15,False,N/A,True,10:57,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,31657.25,15:29,480.80,1.5,32286.40,10:05,-148.35,-0.46,31669.90,0.00,468.15,False
20210119,10:00,32094.45,09:30,31865.30,09:45,True,10:16,False,N/A,True,False,32464.25,14:59,369.80,1.15,31992.90,10:01,-101.55,-0.32,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,32433.30,338.85,0.00,False
20210120,10:00,32494.55,09:21,32324.55,09:35,True,10:21,False,N/A,True,False,32606.10,14:30,111.55,0.34,32357.10,12:51,-137.45,-0.42,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,32505.80,11.25,0.00,False
20210121,10:00,32736.60,09:38,32649.55,09:15,True,11:12,True,10:41,True,True,32841.35,12:35,104.75,0.32,31988.90,15:10,-747.70,-2.28,31988.90,15:10,660.65,2.02,32841.35,12:35,-191.80,-0.59,32273.50,-463.10,376.05,False
20210122,10:00,32108.30,09:15,31831.25,09:31,False,N/A,True,10:21,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,31121.80,15:03,709.45,2.23,31979.90,10:16,-148.65,-0.47,31140.40,0.00,690.85,False
20210125,10:00,31603.35,09:16,31019.00,09:48,True,10:30,False,N/A,True,False,31694.20,10:31,90.85,0.29,31037.00,14:30,-566.35,-1.79,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,31178.55,-424.80,0.00,False
20210127,10:00,31278.10,09:16,30800.80,09:51,False,N/A,True,11:49,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,30166.75,14:39,634.05,2.06,31190.85,11:26,-390.05,-1.27,30291.65,0.00,509.15,False
20210128,10:00,30049.05,09:37,29694.95,09:23,True,10:16,False,N/A,True,False,30460.45,15:17,411.40,1.37,29695.20,13:06,-353.85,-1.18,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,30369.85,320.80,0.00,False
20210129,10:00,30723.60,09:21,30404.45,10:00,True,14:13,True,10:23,True,True,31108.95,14:37,385.35,1.25,30257.40,10:30,-466.20,-1.52,30257.40,10:30,147.05,0.48,31108.95,14:37,-704.50,-2.32,30621.20,-102.40,-216.75,False
20210202,10:00,34643.44,09:34,33589.05,09:15,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,34315.44,0.00,0.00,True
20210203,10:00,34555.60,09:15,34018.40,09:20,True,10:28,False,N/A,True,False,34907.80,14:36,352.20,1.02,34325.75,10:11,-229.85,-0.67,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,34711.85,156.25,0.00,False
20210204,10:00,34590.44,09:21,34310.05,09:16,True,11:15,True,10:02,True,True,35408.05,15:04,817.61,2.36,34244.19,10:48,-346.25,-1.0,34244.19,10:48,65.86,0.19,35408.05,15:04,-1098.00,-3.2,35324.25,733.81,-1014.20,False
20210205,10:00,36511.44,09:33,35634.94,09:15,True,10:05,True,13:35,True,True,36612.94,10:07,101.50,0.28,35546.15,14:41,-965.29,-2.64,35546.15,14:41,88.79,0.25,36612.94,10:07,-978.00,-2.74,35738.50,-772.94,-103.56,False
20210208,10:00,36461.65,09:31,36044.69,09:15,False,N/A,True,12:10,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,35875.05,12:25,169.64,0.47,36457.94,10:36,-413.25,-1.15,36002.30,0.00,42.39,False
20210209,10:00,36058.80,09:15,35641.65,09:50,True,10:30,False,N/A,True,False,36474.25,14:19,415.45,1.15,35746.69,10:16,-312.11,-0.87,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,36008.65,-50.15,0.00,False
20210210,10:00,36226.94,09:16,35835.05,09:29,False,N/A,True,10:15,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,35429.19,14:48,405.86,1.13,36045.80,12:00,-210.75,-0.59,35899.44,0.00,-64.39,False
20210211,10:00,36008.05,09:50,35681.80,09:16,False,N/A,True,12:56,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,35573.65,13:20,108.15,0.3,35962.90,10:01,-281.10,-0.79,35788.94,0.00,-107.14,False
20210212,10:00,35903.50,09:16,35702.10,09:40,True,10:32,False,N/A,True,False,36322.00,13:20,418.50,1.17,35751.75,10:01,-151.75,-0.42,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,36103.30,199.80,0.00,False
20210215,10:00,36833.25,09:30,36446.55,09:15,True,11:15,False,N/A,True,False,37441.50,15:21,608.25,1.65,36640.50,10:07,-192.75,-0.52,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,37394.69,561.44,0.00,False
20210216,10:00,37703.05,09:28,37215.60,10:00,False,N/A,True,10:01,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,36765.05,13:57,450.55,1.21,37459.55,10:45,-243.95,-0.66,37133.80,0.00,81.80,False
20210217,10:00,37091.44,09:26,36794.15,09:40,True,10:20,True,10:01,True,False,37330.60,11:10,239.16,0.64,36766.30,10:02,-325.14,-0.88,36766.30,10:02,27.85,0.08,37330.60,11:10,-536.45,-1.46,36873.35,-218.09,-79.20,False
20210218,10:00,37088.75,09:15,36742.55,09:33,False,N/A,True,11:35,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,36371.19,13:50,371.36,1.01,36973.60,10:48,-231.05,-0.63,36588.44,0.00,154.11,False
20210219,10:00,36409.40,09:45,36126.65,09:30,True,10:10,True,13:30,True,True,36650.40,10:40,241.00,0.66,35587.75,14:59,-821.65,-2.26,35587.75,14:59,538.90,1.49,36650.40,10:40,-523.75,-1.45,35912.00,-497.40,214.65,False
20210222,10:00,36127.00,09:36,35662.69,09:21,False,N/A,True,11:11,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,35101.30,14:21,561.39,1.57,35908.65,10:37,-245.96,-0.69,35149.65,0.00,513.04,False
20210223,10:00,35540.55,09:15,35152.55,09:48,True,10:33,True,11:42,True,True,35672.40,10:35,131.85,0.37,34986.50,11:46,-554.05,-1.56,34986.50,11:46,166.05,0.47,35672.40,10:35,-519.85,-1.48,35130.60,-409.95,21.95,False
20210224,10:00,35509.80,09:57,35106.90,09:15,True,10:01,False,N/A,True,False,35637.19,10:07,127.39,0.36,35491.69,10:01,-18.11,-0.05,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,35626.60,116.80,0.00,False
20210225,10:00,37220.69,09:41,36730.19,09:15,False,N/A,True,12:03,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,36494.40,15:23,235.79,0.64,37120.15,10:43,-389.96,-1.06,36529.10,0.00,201.09,False
20210226,10:00,35806.65,09:15,35461.25,09:20,False,N/A,True,10:17,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,34662.19,15:23,799.06,2.25,35627.30,10:06,-166.05,-0.47,34793.00,0.00,668.25,False
20210301,10:00,35468.10,09:47,35018.40,09:32,True,10:25,True,12:29,True,False,35578.15,10:30,110.05,0.31,34987.00,12:30,-481.10,-1.36,34987.00,12:30,31.40,0.09,35578.15,10:30,-559.75,-1.6,35342.50,-125.60,-324.10,False
20210302,10:00,35747.05,09:30,35430.40,09:15,False,N/A,True,10:35,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,35005.80,13:36,424.60,1.2,35674.90,10:06,-244.50,-0.69,35470.60,0.00,-40.20,False
20210303,10:00,35887.94,10:00,35638.15,09:45,True,10:06,False,N/A,True,False,36451.40,13:50,563.46,1.57,35835.05,10:05,-52.89,-0.15,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,36340.10,452.16,0.00,False
20210304,10:00,35832.15,09:25,35522.40,09:48,True,11:17,False,N/A,True,False,36312.94,13:00,480.79,1.34,35559.65,10:01,-272.50,-0.76,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,35792.60,-39.55,0.00,False
20210308,10:00,35799.19,10:00,35418.55,09:16,True,10:02,True,10:42,True,True,35825.85,10:05,26.66,0.07,35091.90,13:51,-707.29,-1.98,35091.90,13:51,326.65,0.92,35825.85,10:05,-407.30,-1.15,35306.25,-492.94,112.30,False
20210309,10:00,35850.15,09:25,35596.25,09:51,True,10:04,True,13:19,True,True,36076.65,11:49,226.50,0.63,35548.19,13:21,-301.96,-0.84,35548.19,13:21,48.06,0.14,36076.65,11:49,-480.40,-1.35,35841.10,-9.05,-244.85,False
20210310,10:00,36173.80,09:15,35965.75,09:55,False,N/A,True,10:30,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,35765.85,12:19,199.90,0.56,36091.90,10:20,-126.15,-0.35,35945.15,0.00,20.60,False
20210312,10:00,36497.35,09:15,36256.65,09:49,False,N/A,True,10:15,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,35192.90,14:24,1063.75,2.93,36380.75,10:01,-124.10,-0.34,35458.90,0.00,797.75,False
20210315,10:00,35544.25,09:15,34810.19,09:37,False,N/A,True,10:04,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,34431.40,13:02,378.79,1.09,35265.00,15:21,-454.81,-1.31,35206.35,0.00,-396.16,False
20210316,10:00,35395.94,09:15,34952.85,09:51,False,N/A,True,13:10,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,34745.30,15:08,207.55,0.59,35356.44,10:30,-403.59,-1.15,34828.00,0.00,124.85,False
20210317,10:00,34924.35,09:15,34651.40,09:16,True,11:25,True,10:16,True,True,35098.75,11:31,174.40,0.5,34133.69,15:29,-790.66,-2.26,34133.69,15:29,517.71,1.49,35098.75,11:31,-447.35,-1.29,34148.75,-775.60,502.65,False
20210318,10:00,34759.65,09:53,34525.75,09:15,False,N/A,True,10:32,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,33601.30,14:17,924.45,2.68,34708.65,10:08,-182.90,-0.53,33917.30,0.00,608.45,False
20210319,10:00,33783.30,10:00,33362.85,09:30,True,10:06,False,N/A,True,False,34351.50,15:01,568.20,1.68,33479.30,12:16,-304.00,-0.9,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,34103.69,320.39,0.00,False
20210322,10:00,34145.80,09:53,33754.19,09:26,False,N/A,True,11:00,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,33390.00,13:20,364.19,1.08,34030.35,10:07,-276.16,-0.82,33656.90,0.00,97.29,False
20210323,10:00,33942.44,09:27,33718.19,09:15,True,10:53,True,10:30,True,True,34357.75,14:51,415.31,1.22,33629.35,11:34,-313.09,-0.92,33629.35,11:34,88.84,0.26,34357.75,14:51,-639.56,-1.9,34196.30,253.86,-478.11,False
20210324,10:00,33965.50,09:16,33753.30,10:00,False,N/A,True,10:01,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,33205.10,15:05,548.20,1.62,33770.05,10:01,-16.75,-0.05,33383.80,0.00,369.50,False
20210325,10:00,33439.19,09:15,32873.94,09:27,True,14:47,True,10:20,True,True,33548.85,14:49,109.66,0.33,32420.55,12:10,-1018.64,-3.05,32420.55,12:10,453.39,1.38,33548.85,14:49,-674.91,-2.05,32992.40,-446.79,-118.46,False
20210326,10:00,33605.05,09:15,33231.75,09:57,False,N/A,True,11:21,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,33168.30,15:18,63.45,0.19,33527.25,14:00,-295.50,-0.89,33445.05,0.00,-213.30,False
20210330,10:00,33823.85,10:00,33581.55,09:18,True,10:09,True,13:08,True,False,33990.10,14:18,166.25,0.49,33565.85,13:09,-258.00,-0.76,33565.85,13:09,15.70,0.05,33990.10,14:18,-408.55,-1.22,33855.90,32.05,-274.35,False
20210331,10:00,33764.80,09:15,33415.85,09:36,False,N/A,True,10:18,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,33154.69,11:32,261.16,0.78,33505.94,10:06,-90.09,-0.27,33332.65,0.00,83.20,False
20210401,10:00,33588.75,09:16,33314.05,09:49,True,14:06,True,10:46,True,True,33949.15,15:16,360.40,1.07,33210.75,10:56,-378.00,-1.13,33210.75,10:56,103.30,0.31,33949.15,15:16,-635.10,-1.91,33900.75,312.00,-586.70,False
20210405,10:00,33688.25,09:15,32672.80,10:00,False,N/A,True,10:02,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,32333.90,11:13,338.90,1.04,32828.80,14:30,-156.00,-0.48,32718.15,0.00,-45.35,False
20210407,10:00,32749.50,09:55,32158.45,09:15,True,10:02,False,N/A,True,False,33190.30,13:05,440.80,1.35,32523.70,10:16,-225.80,-0.69,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,32970.90,221.40,0.00,False
20210408,10:00,33303.80,09:36,33064.65,09:51,False,N/A,True,11:44,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,32709.05,15:00,355.60,1.08,33270.00,10:10,-205.35,-0.62,32776.55,0.00,288.10,False
20210409,10:00,32723.05,09:45,32342.85,09:15,True,10:03,False,N/A,True,False,32968.50,10:10,245.45,0.75,32417.25,15:06,-305.80,-0.93,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,32446.50,-276.55,0.00,False
20210412,10:00,31648.50,09:15,30848.90,09:31,False,N/A,True,11:35,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,30522.50,14:38,326.40,1.06,31267.80,10:08,-418.90,-1.36,30893.70,0.00,-44.80,False
20210413,10:00,31242.15,09:52,30740.55,09:15,True,10:01,False,N/A,True,False,31883.00,14:43,640.85,2.05,31027.75,11:43,-214.40,-0.69,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,31754.75,512.60,0.00,False
20210415,10:00,32110.15,09:19,31622.40,09:40,True,14:07,True,10:20,True,True,32179.00,15:28,68.85,0.21,31406.70,11:15,-703.45,-2.19,31406.70,11:15,215.70,0.68,32179.00,15:28,-556.60,-1.76,32173.95,63.80,-551.55,False
20210416,10:00,32325.15,09:15,31917.85,09:22,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,31942.70,0.00,0.00,True
20210419,10:00,31004.45,09:15,30407.90,09:45,True,13:58,False,N/A,True,False,31299.60,15:21,295.15,0.95,30528.90,10:20,-475.55,-1.53,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,31206.65,202.20,0.00,False
20210420,10:00,31727.10,09:26,31467.35,09:19,False,N/A,True,11:11,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,30893.40,14:57,573.95,1.82,31641.75,10:43,-174.40,-0.55,31088.95,0.00,378.40,False
20210422,10:00,30931.05,09:57,30557.30,09:15,True,10:11,False,N/A,True,False,31830.75,15:09,899.70,2.91,30791.90,10:07,-139.15,-0.45,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,31740.20,809.15,0.00,False
20210423,10:00,31761.55,09:22,31381.10,09:35,True,10:03,False,N/A,True,False,32147.00,11:34,385.45,1.21,31565.00,14:45,-196.55,-0.62,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,31641.30,-120.25,0.00,False
20210426,10:00,32594.10,10:00,32149.80,09:17,False,N/A,False,N/A,False,False,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,32253.05,0.00,0.00,True
20210427,10:00,32442.90,09:16,32158.80,09:15,True,10:41,False,N/A,True,False,32801.19,15:21,358.29,1.1,32300.55,10:23,-142.35,-0.44,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,32755.85,312.95,0.00,False
20210428,10:00,33143.44,09:53,32854.94,09:15,True,11:48,False,N/A,True,False,33775.05,15:11,631.61,1.91,32964.75,10:27,-178.69,-0.54,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,33660.65,517.21,0.00,False
20210429,10:00,34284.85,09:23,33459.25,10:00,False,N/A,True,10:49,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,33310.80,11:04,148.45,0.44,33957.65,13:09,-498.40,-1.49,33651.44,0.00,-192.19,False
20210430,10:00,33397.15,09:46,32964.55,09:21,True,10:43,True,13:44,True,True,33448.60,10:57,51.45,0.15,32667.00,15:21,-730.15,-2.19,32667.00,15:21,297.55,0.9,33448.60,10:57,-484.05,-1.47,32718.80,-678.35,245.75,False
20210503,10:00,32401.40,09:27,32022.90,09:15,True,10:39,True,13:20,True,True,32560.20,15:29,158.80,0.49,31921.65,13:21,-479.75,-1.48,31921.65,13:21,101.25,0.32,32560.20,15:29,-537.30,-1.68,32544.00,142.60,-521.10,False
20210504,10:00,32838.15,09:35,32509.00,09:46,True,10:02,True,13:15,True,True,33009.35,12:05,171.20,0.52,32193.55,15:02,-644.60,-1.96,32193.55,15:02,315.45,0.97,33009.35,12:05,-500.35,-1.54,32294.65,-543.50,214.35,False
20210505,10:00,32602.30,09:15,32377.15,09:49,True,10:01,True,10:04,True,False,32861.55,15:29,259.25,0.8,32072.80,10:04,-529.50,-1.62,32072.80,10:04,304.35,0.94,32861.55,15:29,-484.40,-1.5,32850.50,248.20,-473.35,False
20210506,10:00,32951.10,09:15,32713.95,09:28,False,N/A,True,10:10,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,32567.40,11:13,146.55,0.45,32923.50,14:02,-209.55,-0.64,32890.90,0.00,-176.95,False
20210507,10:00,33255.50,09:23,33041.65,09:15,False,N/A,True,10:29,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,32772.10,12:25,269.55,0.82,33155.85,10:06,-114.20,-0.35,32890.69,0.00,150.96,False
20210510,10:00,33225.19,09:15,33029.75,09:56,True,10:17,False,N/A,True,False,33297.60,10:34,72.41,0.22,33054.85,10:01,-170.34,-0.51,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,33201.15,-24.04,0.00,False
