Date,Time,DayHigh,DayHighTime,DayLow,DayLowTime,IsDayHighBreak,DayHighBreakTime,IsDayLowBreak,DayLowBreakTime,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,TargetHighTime,points_from_target_high,percentChangeTargetHigh,SLHigh,SLHighTime,points_from_SL_High,percentageChangeSLHigh,TargetLow,TargetLowTime,points_from_Target_Low,percentageChangeTargetLow,SLLow,SLLowTime,points_from_SL_low,percentageChangeSLLow,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow,noBreak
20160101,10:00,7939.55,09:15,7909.80,09:22,True,10:18,False,N/A,True,False,7972.55,14:33,33.00,0.42,7924.50,13:24,-15.05,-0.19,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,7960.00,20.45,0.00,False
20160104,10:00,7937.55,09:54,7902.55,09:15,False,N/A,True,10:03,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,7781.10,15:20,121.45,1.54,7918.60,10:01,-16.05,-0.2,7790.75,0.00,111.80,False
20160105,10:00,7831.20,09:17,7783.20,09:55,False,N/A,True,10:59,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,7763.25,11:44,19.95,0.26,7817.35,10:28,-34.15,-0.44,7781.30,0.00,1.90,False
20160106,10:00,7788.30,09:15,7759.20,09:24,True,10:28,True,13:59,True,True,7800.95,13:24,12.65,0.16,7721.20,14:16,-67.10,-0.86,7721.20,14:16,38.00,0.49,7800.95,13:24,-41.75,-0.54,7736.20,-52.10,23.00,False
20160107,10:00,7674.95,09:15,7623.15,09:45,False,N/A,True,10:24,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,7556.60,15:20,66.55,0.87,7638.45,10:07,-15.30,-0.2,7566.40,0.00,56.75,False
20160108,10:00,7634.10,09:15,7595.45,09:44,False,N/A,True,10:03,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,7581.05,11:13,14.40,0.19,7630.20,14:25,-34.75,-0.46,7603.40,0.00,-7.95,False
20160111,10:00,7528.40,09:15,7494.35,09:44,True,10:06,False,N/A,True,False,7605.10,14:29,76.70,1.02,7515.30,10:03,-13.10,-0.17,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,7565.55,37.15,0.00,False
20160112,10:00,7588.30,09:15,7551.65,09:59,False,N/A,True,10:07,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,7487.80,13:33,63.85,0.85,7563.45,10:04,-11.80,-0.16,7512.75,0.00,38.90,False
20160113,10:00,7585.95,09:58,7551.20,09:24,True,14:43,True,11:04,True,True,7590.95,14:48,5.00,0.07,7425.80,13:04,-160.15,-2.11,7425.80,13:04,125.40,1.66,7590.95,14:48,-39.75,-0.53,7550.70,-35.25,0.50,False
20160114,10:00,7493.60,09:44,7443.80,09:22,True,10:38,False,N/A,True,False,7604.80,13:30,111.20,1.48,7454.90,10:08,-38.70,-0.52,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,7538.60,45.00,0.00,False
20160115,10:00,7566.50,09:15,7525.65,09:46,False,N/A,True,10:03,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,7427.30,15:05,98.35,1.31,7543.60,13:36,-17.95,-0.24,7434.55,0.00,91.10,False
20160118,10:00,7463.65,09:18,7395.10,10:00,False,N/A,True,10:02,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,7336.40,15:14,58.70,0.79,7438.50,10:52,-43.40,-0.59,7349.60,0.00,45.50,False
20160119,10:00,7406.95,09:59,7364.15,09:27,True,10:46,False,N/A,True,False,7462.75,13:53,55.80,0.75,7378.05,10:27,-28.90,-0.39,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,7437.55,30.60,0.00,False
20160120,10:00,7470.90,09:15,7291.50,09:47,False,N/A,True,11:57,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,7241.50,14:41,50.00,0.69,7323.70,10:58,-32.20,-0.44,7313.70,0.00,-22.20,False
20160121,10:00,7398.70,09:24,7328.65,09:48,False,N/A,True,10:16,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,7250.00,13:16,78.65,1.07,7349.65,10:02,-21.00,-0.29,7280.60,0.00,48.05,False
20160122,10:00,7368.00,09:58,7327.60,09:19,True,10:01,False,N/A,True,False,7433.40,14:38,65.40,0.89,7365.85,10:08,-2.15,-0.03,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,7424.80,56.80,0.00,False
20160125,10:00,7487.15,09:44,7447.85,09:15,False,N/A,True,13:45,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,7421.20,14:01,26.65,0.36,7482.30,10:06,-34.45,-0.46,7436.55,0.00,11.30,False
20160127,10:00,7476.05,09:15,7419.70,09:44,True,12:37,False,N/A,True,False,7477.90,12:41,1.85,0.02,7422.55,13:53,-53.50,-0.72,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,7434.25,-41.80,0.00,False
20160128,10:00,7446.80,09:21,7409.60,09:15,True,10:35,False,N/A,True,False,7468.85,14:18,22.05,0.3,7417.15,15:19,-29.65,-0.4,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,7423.30,-23.50,0.00,False
20160129,10:00,7479.45,09:33,7402.80,09:15,True,11:14,False,N/A,True,False,7575.65,15:17,96.20,1.29,7445.85,10:40,-33.60,-0.45,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,7562.95,83.50,0.00,False
20160201,10:00,7592.35,09:15,7556.80,09:23,True,10:24,True,12:42,True,True,7600.45,10:35,8.10,0.11,7541.25,14:52,-51.10,-0.67,7541.25,14:52,15.55,0.21,7600.45,10:35,-43.65,-0.58,7552.90,-39.45,3.90,False
20160202,10:00,7568.55,09:29,7552.50,09:42,True,12:02,True,10:16,True,True,7576.30,12:04,7.75,0.1,7428.05,15:23,-140.50,-1.86,7428.05,15:23,124.45,1.65,7576.30,12:04,-23.80,-0.32,7440.65,-127.90,111.85,False
20160203,10:00,7404.55,09:44,7370.00,09:25,True,10:01,True,10:41,True,True,7419.40,13:33,14.85,0.2,7350.30,15:16,-54.25,-0.73,7350.30,15:16,19.70,0.27,7419.40,13:33,-49.40,-0.67,7358.95,-45.60,11.05,False
20160204,10:00,7431.90,09:19,7409.55,09:56,True,12:32,True,10:10,True,True,7457.05,12:47,25.15,0.34,7365.95,14:49,-65.95,-0.89,7365.95,14:49,43.60,0.59,7457.05,12:47,-47.50,-0.64,7414.20,-17.70,-4.65,False
20160205,10:00,7443.85,09:45,7406.65,09:25,True,10:24,False,N/A,True,False,7501.70,15:29,57.85,0.78,7422.60,10:13,-21.25,-0.29,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,7498.10,54.25,0.00,False
20160208,10:00,7496.65,09:31,7463.95,09:52,True,10:37,True,14:33,True,True,7512.55,13:57,15.90,0.21,7363.20,15:29,-133.45,-1.78,7363.20,15:29,100.75,1.35,7512.55,13:57,-48.60,-0.65,7365.00,-131.65,98.95,False
20160209,10:00,7319.70,09:27,7280.70,09:17,True,13:35,True,11:42,True,True,7323.45,13:43,3.75,0.05,7275.15,11:43,-44.55,-0.61,7275.15,11:43,5.55,0.08,7323.45,13:43,-42.75,-0.59,7301.40,-18.30,-20.70,False
20160210,10:00,7271.85,09:17,7221.25,09:52,False,N/A,True,10:32,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,7177.75,13:54,43.50,0.6,7256.80,14:37,-35.55,-0.49,7221.95,0.00,-0.70,False
20160211,10:00,7208.65,09:15,7153.75,09:48,False,N/A,True,10:05,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,6959.95,15:26,193.80,2.71,7166.85,10:36,-13.10,-0.18,6969.60,0.00,184.15,False
20160212,10:00,7026.75,09:15,6952.95,09:25,True,14:48,True,10:11,True,True,7034.80,14:50,8.05,0.11,6869.00,12:34,-157.75,-2.24,6869.00,12:34,83.95,1.21,7034.80,14:50,-81.85,-1.18,6969.40,-57.35,-16.45,False
20160215,10:00,7133.65,10:00,7056.80,09:15,True,10:19,False,N/A,True,False,7182.80,13:30,49.15,0.69,7115.95,10:08,-17.70,-0.25,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,7153.35,19.70,0.00,False
20160216,10:00,7204.65,09:15,7123.40,09:38,False,N/A,True,11:25,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,7037.70,15:20,85.70,1.2,7167.60,10:59,-44.20,-0.62,7041.45,0.00,81.95,False
20160217,10:00,7059.75,09:15,6974.45,09:59,True,14:20,True,10:06,True,True,7122.55,15:29,62.80,0.89,6960.65,10:13,-99.10,-1.4,6960.65,10:13,13.80,0.2,7122.55,15:29,-148.10,-2.12,7118.05,58.30,-143.60,False
20160218,10:00,7211.80,09:47,7175.30,09:15,True,11:09,True,11:26,True,True,7215.10,11:09,3.30,0.05,7127.85,14:26,-83.95,-1.16,7127.85,14:26,47.45,0.66,7215.10,11:09,-39.80,-0.55,7180.15,-31.65,-4.85,False
20160219,10:00,7196.70,09:40,7145.95,09:15,True,11:02,False,N/A,True,False,7226.85,14:41,30.15,0.42,7155.15,13:34,-41.55,-0.58,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,7203.00,6.30,0.00,False
20160222,10:00,7243.05,09:50,7200.70,09:15,True,13:36,False,N/A,True,False,7252.40,14:06,9.35,0.13,7213.25,11:48,-29.80,-0.41,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,7236.45,-6.60,0.00,False
20160223,10:00,7241.70,09:15,7175.10,09:46,False,N/A,True,10:09,False,True,0.00,N/A,0.00,0.0,0.00,N/A,0.00,0.0,7099.35,15:22,75.75,1.06,7188.10,10:01,-13.00,-0.18,7103.10,0.00,72.00,False
