Date,Time,DayHigh,DayLow,IsDayHighBreak,IsDayLowBreak,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,points_from_target_high,percentChangeTargetHigh,SLHigh,points_from_SL_High,percentageChangeSLHigh,TargetLow,points_from_Target_Low,percentageChangeTargetLow,SLLow,points_from_SL_low,percentageChangeSLLow,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow,noBreak
20220103,12:15,17534.00,17387.15,True,False,True,False,17646.09,112.09,0.64,17526.65,-7.35,-0.04,0.00,0.00,0.0,0.00,0.00,0.0,17630.45,96.45,0.00,False
20220104,12:15,17733.90,17594.25,True,False,True,False,17827.30,93.40,0.53,17669.95,-63.95,-0.36,0.00,0.00,0.0,0.00,0.00,0.0,17808.25,74.35,0.00,False
20220105,12:15,17864.90,17750.09,True,False,True,False,17944.20,79.30,0.44,17859.40,-5.50,-0.03,0.00,0.00,0.0,0.00,0.00,0.0,17910.59,45.69,0.00,False
20220106,12:15,17795.80,17662.05,False,True,False,False,0.00,0.00,0.0,0.00,0.00,0.0,17655.90,6.15,0.03,17790.75,-128.70,-0.73,17746.05,0.00,-84.00,False
20220107,12:15,17904.65,17777.95,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,17705.05,72.90,0.41,17829.50,-51.55,-0.29,17828.45,0.00,-50.50,False
20220110,12:15,17977.45,17879.80,True,False,True,False,18016.80,39.35,0.22,17939.59,-37.86,-0.21,0.00,0.00,0.0,0.00,0.00,0.0,18008.95,31.50,0.00,False
20220111,12:15,18058.90,17964.90,True,False,True,False,18080.95,22.05,0.12,18002.40,-56.50,-0.31,0.00,0.00,0.0,0.00,0.00,0.0,18062.00,3.10,0.00,False
20220112,12:15,18221.00,18129.95,True,False,True,False,18227.34,6.34,0.03,18158.75,-62.25,-0.34,0.00,0.00,0.0,0.00,0.00,0.0,18194.25,-26.75,0.00,False
20220113,12:15,18271.55,18164.15,False,False,False,False,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,0.0,18258.09,0.00,0.00,True
20220114,12:15,18230.90,18120.95,True,False,True,False,18286.59,55.69,0.31,18179.84,-51.06,-0.28,0.00,0.00,0.0,0.00,0.00,0.0,18234.80,3.90,0.00,False
20220117,12:15,18313.45,18234.05,True,False,True,False,18321.05,7.60,0.04,18260.65,-52.80,-0.29,0.00,0.00,0.0,0.00,0.00,0.0,18308.65,-4.80,0.00,False
20220118,12:15,18350.59,18186.75,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,18087.45,99.30,0.55,18318.05,-131.30,-0.72,18118.50,0.00,68.25,False
20220119,12:15,18129.20,17942.05,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,17885.30,56.75,0.32,17974.34,-32.29,-0.18,17937.45,0.00,4.60,False
20220120,12:15,17934.30,17768.40,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,17648.84,119.56,0.67,17834.70,-66.30,-0.37,17777.95,0.00,-9.55,False
20220121,12:15,17679.25,17526.40,True,True,True,True,17707.25,28.00,0.16,17487.20,-192.05,-1.09,17487.20,39.20,0.22,17707.25,-180.85,-1.03,17645.80,-33.45,-119.40,False
20220124,12:15,17598.34,17280.25,False,True,False,True,0.00,0.00,0.0,0.00,0.00,0.0,16998.45,281.80,1.63,17289.34,-9.09,-0.05,17116.84,0.00,163.41,False
20220125,12:15,17200.55,16837.84,True,False,True,False,17308.90,108.35,0.63,17047.00,-153.55,-0.89,0.00,0.00,0.0,0.00,0.00,0.0,17269.70,69.15,0.00,False
20220127,12:15,17062.95,16875.84,True,True,True,True,17182.09,119.14,0.7,16867.05,-195.90,-1.15,16867.05,8.79,0.05,17182.09,-306.25,-1.81,17138.00,75.05,-262.16,False
