Date,Time,DayHigh,DayLow,IsDayHighBreak,IsDayLowBreak,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,points_from_target_high,SLHigh,points_from_SL_High,TargetLow,points_from_Target_Low,SLLow,points_from_SL_low,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow
20140101,11:45,6327.20,6301.65,False,True,False,True,6327.20,0.00,6327.20,0.00,6298.25,3.40,6314.30,-12.65,6303.75,-23.45,-2.10
20140102,11:45,6358.30,6300.65,False,True,False,True,6358.30,0.00,6358.30,0.00,6211.85,88.80,6348.30,-47.65,6214.80,-143.50,85.85
20140103,11:45,6209.05,6178.85,True,True,True,True,6219.85,10.80,6171.25,-37.80,6171.25,7.60,6219.85,-41.00,6218.20,9.15,-39.35
20140106,11:45,6224.70,6176.15,False,True,False,True,6224.70,0.00,6224.70,0.00,6170.25,5.90,6201.70,-25.55,6191.80,-32.90,-15.65
20140107,11:45,6221.50,6144.75,False,False,False,False,6221.50,0.00,6221.50,0.00,6144.75,0.00,6144.75,0.00,6159.45,-62.05,-14.70
20140108,11:45,6191.20,6160.35,True,False,True,False,6192.10,0.90,6164.90,-26.30,6160.35,0.00,6160.35,0.00,6172.40,-18.80,-12.05
20140109,11:45,6188.05,6154.10,False,True,False,True,6188.05,0.00,6188.05,0.00,6148.25,5.85,6184.15,-30.05,6170.50,-17.55,-16.40
20140110,11:45,6222.75,6139.60,True,False,True,False,6239.10,16.35,6162.10,-60.65,6139.60,0.00,6139.60,0.00,6169.10,-53.65,-29.50
20140113,11:45,6259.00,6194.60,True,False,True,False,6286.50,27.50,6231.15,-27.85,6194.60,0.00,6194.60,0.00,6284.40,25.40,-89.80
20140114,11:45,6280.35,6250.20,False,True,False,True,6280.35,0.00,6280.35,0.00,6234.15,16.05,6261.05,-10.85,6243.80,-36.55,6.40
20140115,11:45,6304.05,6265.30,True,False,True,False,6325.20,21.15,6276.70,-27.35,6265.30,0.00,6265.30,0.00,6323.85,19.80,-58.55
20140116,11:45,6346.50,6308.90,False,True,False,True,6346.50,0.00,6346.50,0.00,6299.85,9.05,6332.65,-23.75,6316.20,-30.30,-7.30
20140117,11:45,6327.10,6294.35,False,True,False,True,6327.10,0.00,6327.10,0.00,6246.35,48.00,6301.60,-7.25,6271.45,-55.65,22.90
20140120,11:45,6304.95,6243.35,True,False,True,False,6307.45,2.50,6273.10,-31.85,6243.35,0.00,6243.35,0.00,6301.70,-3.25,-58.35
20140121,11:45,6330.30,6301.00,False,True,False,True,6330.30,0.00,6330.30,0.00,6297.90,3.10,6324.75,-23.75,6315.55,-14.75,-14.55
20140122,11:45,6326.70,6287.45,True,False,True,False,6349.95,23.25,6309.75,-16.95,6287.45,0.00,6287.45,0.00,6333.85,7.15,-46.40
20140123,11:45,6342.90,6316.40,True,False,True,False,6355.60,12.70,6326.75,-16.15,6316.40,0.00,6316.40,0.00,6348.80,5.90,-32.40
20140124,11:45,6331.45,6269.15,False,True,False,True,6331.45,0.00,6331.45,0.00,6263.90,5.25,6294.25,-25.10,6266.75,-64.70,2.40
20140127,11:45,6188.55,6162.90,False,True,False,True,6188.55,0.00,6188.55,0.00,6130.25,32.65,6179.55,-16.65,6142.15,-46.40,20.75
20140128,11:45,6163.60,6085.95,False,False,False,False,6163.60,0.00,6163.60,0.00,6085.95,0.00,6085.95,0.00,6130.25,-33.35,-44.30
