Instrument,Date,Time,Open,High,Low,Close
NIFTY,20240101,09:15,48203.45,48282.35,48152.30,48160.65
NIFTY,20240101,09:16,48163.95,48180.05,48134.90,48135.90
NIFTY,20240101,09:17,48146.60,48185.25,48143.55,48179.90
NIFTY,20240101,09:18,48179.85,48191.60,48156.45,48162.35
NIFTY,20240101,09:19,48172.35,48184.50,48145.70,48152.95
NIFTY,20240101,09:20,48157.45,48175.30,48144.75,48155.30
NIFTY,20240101,09:21,48157.20,48169.35,48141.70,48167.10
NIFTY,20240101,09:22,48167.30,48180.35,48158.25,48158.75
NIFTY,20240101,09:23,48160.30,48177.05,48155.30,48161.85
NIFTY,20240101,09:24,48169.20,48192.40,48166.05,48185.80
NIFTY,20240101,09:25,48185.70,48198.10,48178.25,48193.30
NIFTY,20240101,09:26,48192.05,48200.60,48176.95,48189.45
NIFTY,20240101,09:27,48182.05,48191.35,48177.90,48189.65
NIFTY,20240101,09:28,48184.10,48194.80,48176.80,48187.25
NIFTY,20240101,09:29,48187.00,48195.05,48181.70,48184.25
NIFTY,20240101,09:30,48183.45,48194.50,48172.30,48182.80
NIFTY,20240101,09:31,48187.75,48192.00,48166.80,48177.80
NIFTY,20240101,09:32,48180.55,48189.25,48175.30,48189.25
NIFTY,20240101,09:33,48186.50,48216.55,48186.35,48213.40
NIFTY,20240101,09:34,48216.10,48230.80,48216.10,48226.20
NIFTY,20240101,09:35,48227.45,48243.00,48222.85,48232.50
NIFTY,20240101,09:36,48233.85,48252.95,48224.90,48250.80
NIFTY,20240101,09:37,48248.85,48262.90,48237.20,48247.35
NIFTY,20240101,09:38,48249.35,48250.90,48229.45,48236.60
NIFTY,20240101,09:39,48230.30,48237.35,48204.85,48204.85
NIFTY,20240101,09:40,48201.90,48212.60,48189.20,48200.55
NIFTY,20240101,09:41,48201.10,48209.80,48192.65,48196.60
NIFTY,20240101,09:42,48200.95,48224.55,48198.05,48211.20
NIFTY,20240101,09:43,48216.10,48221.65,48203.05,48211.65
NIFTY,20240101,09:44,48210.45,48211.75,48197.65,48207.55
NIFTY,20240101,09:45,48208.60,48211.90,48195.85,48199.70
NIFTY,20240101,09:46,48191.65,48218.30,48184.85,48215.80
NIFTY,20240101,09:47,48216.75,48216.75,48202.15,48208.80
NIFTY,20240101,09:48,48206.50,48223.35,48206.50,48219.30
NIFTY,20240101,09:49,48219.75,48234.05,48210.05,48229.40
NIFTY,20240101,09:50,48227.55,48247.55,48221.30,48246.00
